tExpertType;5.;5. Схемы планировочной организации земельных участков
tExpertType;6.;6. Объемно-планировочные и архитектурные решения
tExpertType;7.;7. Конструктивные решения
tExpertType;8.;8. Охрана окружающей среды
tExpertType;9.;9. Санитарно-эпидемиологическая безопасность
tExpertType;10;10. Пожарная безопасность
tExpertType;11.;11. Инженерно-технические мероприятия ГО и ЧС
tExpertType;12.;12. Организация строительства
tExpertType;13.;13. Системы водоснабжения и водоотведения
tExpertType;14.;14. Системы отопления, вентиляции, кондиционирования воздуха и холодоснабжения
tExpertType;15.;15. Системы газоснабжения
tExpertType;16.;16. Системы электроснабжения
tExpertType;17.;17. Системы связи и сигнализации
tExpertType;17.1;17.1. Ценообразование и сметное нормирование
tExpertType;18.;18. Мосты и трубы
tExpertType;19.;19. Автомобильные дороги
tExpertType;20.;20. Объекты топливно-энергетического комплекса
tExpertType;21.;21. Объекты информатизации и связи
tExpertType;22.;22. Инженерно-геодезические изыскания
tExpertType;23.;23. Инженерно-геологические изыскания и инженерно-геотехнические изыскания
tExpertType;24.;24. Инженерно-гидрометеорологические изыскания
tExpertType;25.;25. Инженерно-экологические изыскания
tExpertType;26.;26. Схемы планировочной организации земельных участков
tExpertType;27.;27. Объемно-планировочные решения
tExpertType;28.;28. Конструктивные решения
tExpertType;29.;29. Охрана окружающей среды
tExpertType;30.;30. Санитарно-эпидемиологическая безопасность
tExpertType;31.;31. Пожарная безопасность
tExpertType;32.;32. Инженерно-технические мероприятия ГО и ЧС
tExpertType;33.;33. Промышленная безопасность опасных производственных объектов
tExpertType;34.;34. Ядерная и радиационная безопасность
tExpertType;35.;35. Организация строительства
tExpertType;35.1.;35.1. Ценообразование и сметное нормирование
tExpertType;36.;36. Системы электроснабжения
tExpertType;37.;37. Системы водоснабжения и водоотведения
tExpertType;38.;38. Системы отопления, вентиляции, кондиционирования воздуха и холодоснабжения
tExpertType;39.;39. Системы связи и сигнализации
tExpertType;40.;40. Системы газоснабжения
tExpertType;41.;41. Системы автоматизации
tExpertType;42.;42. Системы теплоснабжения
tExpertType;43.;43. Объекты авиационной инфраструктуры
tExpertType;44.;44. Объекты инфраструктуры железнодорожного транспорта
tExpertType;45.;45. Мосты и трубы
tExpertType;46.;46. Тоннели и метрополитены
tExpertType;47.;47. Автомобильные дороги
tExpertType;48.;48. Объекты морского и речного транспорта
tExpertType;49.;49. Объекты химических, нефтехимических и нефтегазоперерабатывающих, взрыво- и пожароопасных производств
tExpertType;50.;50. Линии электропередачи и иные объекты электросетевого хозяйства
tExpertType;51.;51. Объекты обустройства нефтяных и газовых месторождений
tExpertType;52.;52. Скважины
tExpertType;53.;53. Магистральные и промысловые трубопроводы
tExpertType;54.;54. Объекты использования атомной энергии
tExpertType;55.;55. Тепловые электростанции
tExpertType;56.;56. Объекты оборонной промышленности и иные объекты производственного назначения
tExpertType;57.;57. Объекты металлургической промышленности
tExpertType;58.;58. Объекты горнодобывающей и горноперерабатывающей промышленности
tExpertType;59.;59. Объекты информатизации и связи
tExpertType;60.;60. Гидротехнические сооружения
tExpertType;61.;61. Объекты обезвреживания и захоронения отходов I-V классов опасности
tExpertType;62.;62. Охрана объектов культурного наследия
tExpertType;63.;63. Объекты социально-культурного назначения
