tFinanceType;1;Бюджетные средства
tFinanceType;2;Средства юридических лиц, перечисленных в части 2 статьи 48.2 Градостроительного кодекса Российской Федерации
tFinanceType;3;Средства, не входящие в перечень, указанный в части 2 статьи 8.3 Градостроительного кодекса Российской Федерации
